[2025-04-22 22:03:07,809] 16 root - INFO - Data ingestion initiated
[2025-04-22 22:03:17,524] 61 root - INFO - Performed train test split on the dataframe
[2025-04-22 22:03:17,525] 63 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-04-22 22:03:17,525] 71 root - INFO - Exporting train and test file path.
[2025-04-22 22:03:17,620] 80 root - INFO - Exported train and test file path.
[2025-04-22 22:03:17,621] 18 root - INFO - Data ingestion completed
[2025-04-22 22:03:17,645] 22 root - INFO - Data vailidation initiated
[2025-04-22 22:03:17,800] 39 root - INFO - Required number of columns:2
[2025-04-22 22:03:17,830] 40 root - INFO - Data frame has columns:31
[2025-04-22 22:03:17,830] 39 root - INFO - Required number of columns:2
[2025-04-22 22:03:17,830] 40 root - INFO - Data frame has columns:31
[2025-04-22 22:03:18,379] 24 root - INFO - Data Validation complleted
[2025-04-22 22:03:18,380] 26 root - INFO - Data transformation started
[2025-04-22 22:03:18,380] 47 root - INFO - Entered initiate data transformation method of DataTransformation class
[2025-04-22 22:03:18,380] 49 root - INFO - Starting data transformation
[2025-04-22 22:03:18,428] 35 root - INFO - Entered get_data_transformer obj method of transformation class
[2025-04-22 22:03:18,429] 38 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-04-22 22:03:18,486] 42 root - INFO - Entered the save_object method of MainUtils class
[2025-04-22 22:03:18,492] 46 root - INFO - Exited the save_object method of MainUtils class
[2025-04-22 22:03:18,494] 31 root - INFO - data transformation done
[2025-04-22 22:03:18,495] 32 root - INFO - Model Training started
[2025-04-22 22:08:30,268] 13 root - ERROR - Error occured in python file [C:\Users\bhara\OneDrive\Desktop\MLops\networksecurity\components\model_trainer.py] line number [122] error message [local variable 'classification_test_metric' referenced before assignment].
[2025-04-22 22:08:30,268] 13 root - ERROR - Error occured in python file [C:\Users\bhara\OneDrive\Desktop\MLops\main.py] line number [35] error message [Error occured in python file [C:\Users\bhara\OneDrive\Desktop\MLops\networksecurity\components\model_trainer.py] line number [122] error message [local variable 'classification_test_metric' referenced before assignment].].
