[2025-04-22 12:28:43,825] 15 root - INFO - Data ingestion initiated
[2025-04-22 12:28:56,939] 61 root - INFO - Performed train test split on the dataframe
[2025-04-22 12:28:56,940] 63 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-04-22 12:28:56,942] 71 root - INFO - Exporting train and test file path.
[2025-04-22 12:28:57,141] 80 root - INFO - Exported train and test file path.
[2025-04-22 12:28:57,143] 17 root - INFO - Data ingestion completed
[2025-04-22 12:28:57,171] 21 root - INFO - Data vailidation initiated
[2025-04-22 12:28:57,356] 39 root - INFO - Required number of columns:2
[2025-04-22 12:28:57,358] 40 root - INFO - Data frame has columns:31
[2025-04-22 12:28:57,358] 39 root - INFO - Required number of columns:2
[2025-04-22 12:28:57,358] 40 root - INFO - Data frame has columns:31
[2025-04-22 12:28:58,294] 23 root - INFO - Data Validation complleted
[2025-04-22 12:28:58,294] 25 root - INFO - Data transformation started
[2025-04-22 12:28:58,295] 40 root - INFO - Entered initiate data transformation method of DataTransformation class
[2025-04-22 12:28:58,295] 42 root - INFO - Starting data transformation
[2025-04-22 12:28:58,295] 13 root - ERROR - Error occured in python file [C:\Users\bhara\OneDrive\Desktop\MLops\networksecurity\components\data_transformation.py] line number [43] error message [type object 'DataTransformation' has no attribute 'read_data'].
[2025-04-22 12:28:58,295] 13 root - ERROR - Error occured in python file [C:\Users\bhara\OneDrive\Desktop\MLops\main.py] line number [28] error message [Error occured in python file [C:\Users\bhara\OneDrive\Desktop\MLops\networksecurity\components\data_transformation.py] line number [43] error message [type object 'DataTransformation' has no attribute 'read_data'].].
